id;country;i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;age;sex;mot;anx;val;sec;ple;ae;i1_2;i2_2;i3_2;i4_2;i5_2;i6_2;i7_2;i8_2;i9_2;i10_2;i11_2;i12_2;i13_2;i14_2;i15_2;i16_2;i17_2;i18_2;i19_2;i20_2;i21_2;i22_2;i23_2;i24_2;i25_2;mot_2;anx_2;val_2;sec_2;ple_2;ae_2
47;Canada;5;2;2;2;2;4;5;4;1;5;5;4;4;1;4;5;4;4;2;4;2;4;4;1;5;20;F;21;19;20;18;7;65;2;2;2;2;4;2;3;3;1;4;4;2;2;4;4;4;3;2;2;2;2;3;4;1;4;20;13;12;13;10;62
124;Canada;3;3;2;3;3;3;4;3;2;3;3;2;3;3;4;4;4;4;2;3;2;4;3;2;3;21;F;17;17;14;15;12;67;1;3;2;2;3;3;4;4;3;3;2;2;3;2;4;4;4;3;2;2;2;4;3;2;3;17;17;10;15;11;62
96;Canada;5;5;2;2;2;5;4;2;1;4;4;4;2;2;2;5;5;2;2;4;3;5;4;1;5;19;F;18;23;21;12;8;60;4;4;2;2;2;2;4;4;2;4;4;4;2;2;4;4;4;2;2;4;3;4;4;2;4;18;20;17;14;10;63
27;Canada;2;4;2;2;3;4;3;4;2;4;3;4;2;2;3;4;5;2;1;2;1;4;4;2;3;22;M;17;20;12;14;9;58;4;4;2;2;3;2;4;2;2;2;4;3;2;2;4;3;4;2;2;4;3;5;3;2;2;14;20;17;11;10;64
24;Canada;5;4;1;1;1;3;5;1;1;1;3;5;1;1;5;5;5;3;1;5;3;5;4;1;5;21;F;17;24;19;10;5;53;4;4;1;2;1;4;4;2;2;2;4;3;1;1;5;2;5;1;1;5;5;5;4;1;2;12;21;22;9;7;65
56;Canada;1;4;2;2;3;2;4;2;2;4;2;4;2;3;4;2;3;2;3;3;2;5;3;2;4;20;F;17;20;10;11;12;56;2;3;3;2;3;2;2;4;1;4;2;4;3;4;4;4;4;2;2;4;2;4;4;2;2;17;17;12;16;11;65
81;Canada;3;3;2;3;3;4;4;4;3;3;4;3;3;3;4;4;4;2;2;4;2;3;4;2;3;19;F;17;17;17;15;13;71;3;4;3;2;2;3;3;3;3;4;4;3;2;2;4;4;4;3;2;3;3;4;3;2;3;17;18;16;14;11;66
114;Canada;3;3;2;3;3;4;4;4;4;4;3;3;2;3;3;4;3;3;2;3;2;3;3;1;3;19;F;17;16;15;14;13;69;2;3;2;3;2;2;3;3;2;4;3;2;3;3;4;4;3;3;2;3;2;3;4;2;3;17;14;12;15;12;68
51;Canada;3;3;4;3;3;3;3;3;2;2;3;3;3;3;3;3;2;4;1;4;3;3;4;1;3;20;F;14;14;16;18;10;76;2;4;2;2;3;2;3;3;2;4;3;3;3;3;3;3;3;4;2;2;3;3;4;3;3;16;16;12;16;12;68
7;Canada;2;4;3;2;2;2;5;4;3;5;2;4;2;2;4;4;3;3;3;2;2;3;3;2;5;27;M;20;19;10;15;12;58;2;2;2;3;2;2;2;3;2;3;3;3;3;2;3;5;3;3;3;3;3;3;4;1;4;17;13;13;15;11;69
